Source,Target,Type,Weight
160925,369865,Undirected,5
160925,387072,Undirected,3
216869,324652,Undirected,5
216869,369865,Undirected,7
216869,387072,Undirected,4
324652,369865,Undirected,5
324652,387072,Undirected,2
369865,387072,Undirected,5
12156,155386,Undirected,2
12156,216869,Undirected,2
12156,324652,Undirected,2
12156,369865,Undirected,2
12156,379646,Undirected,2
107799,155386,Undirected,2
107799,160925,Undirected,2
107799,216869,Undirected,2
107799,324652,Undirected,2
107799,369865,Undirected,2
53781,160587,Undirected,2
160925,374149,Undirected,2
216869,374149,Undirected,2
102733,306509,Undirected,2
208542,301137,Undirected,2
208542,367782,Undirected,3
301137,304724,Undirected,3
301137,367782,Undirected,2
91217,278523,Undirected,2
163896,278523,Undirected,2
237936,378039,Undirected,2
264631,297631,Undirected,2
297631,378039,Undirected,3
42557,185733,Undirected,4
42557,353500,Undirected,2
44435,45394,Undirected,2
44435,170409,Undirected,2
44435,187460,Undirected,4
45394,187460,Undirected,2
170409,187460,Undirected,3
173258,353500,Undirected,2
185733,353500,Undirected,3
7642,13448,Undirected,2
7642,146643,Undirected,2
7642,248166,Undirected,2
122772,273545,Undirected,2
184715,198753,Undirected,2
184715,262858,Undirected,2
198753,352413,Undirected,2
262858,285266,Undirected,2
12156,168898,Undirected,2
12156,311858,Undirected,2
150845,168898,Undirected,2
60522,78533,Undirected,2
101880,371224,Undirected,2
350591,371224,Undirected,2
39992,144401,Undirected,2
39992,221758,Undirected,2
39992,274962,Undirected,2
79369,143877,Undirected,3
79369,158433,Undirected,3
79369,221758,Undirected,2
79369,225269,Undirected,3
79369,274962,Undirected,2
143877,158433,Undirected,3
143877,221758,Undirected,2
143877,225269,Undirected,3
143877,274962,Undirected,2
144401,221758,Undirected,2
144401,274962,Undirected,2
158433,221758,Undirected,2
158433,225269,Undirected,4
158433,274962,Undirected,2
221758,225269,Undirected,2
221758,274962,Undirected,2
225269,274962,Undirected,2
53040,208542,Undirected,2
53040,221758,Undirected,2
208542,213958,Undirected,3
208542,221758,Undirected,2
208542,274962,Undirected,3
132443,366818,Undirected,2
174264,373881,Undirected,2
34673,74080,Undirected,2
126238,149374,Undirected,2
126238,178556,Undirected,2
126238,255956,Undirected,2
149374,178556,Undirected,2
149374,255956,Undirected,2
178556,255956,Undirected,2
178556,274962,Undirected,2
42544,369298,Undirected,2
148176,370619,Undirected,2
211309,370619,Undirected,2
74774,77346,Undirected,2
74774,178511,Undirected,2
77346,149568,Undirected,2
77346,178511,Undirected,2
132241,149568,Undirected,2
149568,178511,Undirected,2
228571,252492,Undirected,2
228571,371224,Undirected,2
252492,371224,Undirected,2
165218,251301,Undirected,2
249928,350504,Undirected,2
38309,197163,Undirected,3
38309,387612,Undirected,2
197163,262858,Undirected,2
46169,101358,Undirected,2
